nome,sigla,capacidade,tamanho,bloco,centro_id,campus
Laboratório III (Alan Turing),BSI Lab. III,50,0.0,Bloco BSI,1,1
Laboratório II (John von Neumann),BSI Lab. II,25,0.0,Bloco BSI,1,1
Laboratório I (Ada Lovelace),BSI Lab. I,25,0.0,Bloco BSI,1,1
Laboratório do IMD,Lab. IMD,50,0.0,Bloco C,1,1
Núcleo de Prática Jurídica,NPJ,50,0.0,NPJ,1,1
Laboratório de Geoprocessamento e Geografia Física,LAGGEF,50,0.0,CERES,1,1
Laboratório de Estudos Geográficos,LABIGEO,50,0.0,CERES,1,1
Laboratório de Ecologia do Semiárido,LABESA,50,0.0,CERES,1,1
Laboratório de Inteligência Computacional Aplicada à Negócios,LABICAN,15,0.0,Bloco C,1,1
Laboratório de Documentação Histórica,LABORDOC,15,0.0,CERES,1,1
Laboratório de Ensino de História,LENHEP,15,0.0,CERES,1,1
Laboratório de Ensino de Matemática,LEM,15,0.0,CERES,1,1
Laboratório de Didática,Lab. Didática,15,0.0,Prédio da Pós-Graduação,1,1
Laboratório de Prática Pedagógica,Lab. Prática Pedagógica,15,0.0,Prédio da Pós-Graduação,1,1
Escola Multicampi de Medicina,EMCM,50,0.0,EMCM,1,1
Sala Multi-Meios,Sala Multi-Meios,15,0.0,CERES,1,2
Sala A01,A01,50,0.0,Bloco A,1,1
Sala A02,A02,50,0.0,Bloco A,1,1
Sala A03,A03,50,0.0,Bloco A,1,1
Sala A04,A04,50,0.0,Bloco A,1,1
Sala A05,A05,50,0.0,Bloco A,1,1
Sala A06,A06,50,0.0,Bloco A,1,1
Sala A07,A07,50,0.0,Bloco A,1,1
Sala A08,A08,50,0.0,Bloco A,1,1
Sala A09,A09,50,0.0,Bloco A,1,1
Sala A10,A10,50,0.0,Bloco A,1,1
Sala B01,B01,50,0.0,Bloco B,1,1
Sala B02,B02,50,0.0,Bloco B,1,1
Sala B03,B03,50,0.0,Bloco B,1,1
Sala B04,B04,50,0.0,Bloco B,1,1
Sala B08,B08,50,0.0,Bloco B,1,1
Sala B09,B09,50,0.0,Bloco B,1,1
Sala B10,B10,50,0.0,Bloco B,1,1
Sala D01,D01,50,0.0,Bloco D,1,1
Sala D02,D02,50,0.0,Bloco D,1,1
Sala D03,D03,50,0.0,Bloco D,1,1
Sala D04,D04,50,0.0,Bloco D,1,1
Sala D05,D05,50,0.0,Bloco D,1,1
Sala D06,D06,50,0.0,Bloco D,1,1
Sala D07,D07,50,0.0,Bloco D,1,1
Sala D08,D08,50,0.0,Bloco D,1,1
Sala A01,A01,50,0.0,Bloco A,1,2
Sala A02,A02,50,0.0,Bloco A,1,2
Sala B01,B01,50,0.0,Bloco B,1,2
Sala B02,B02,50,0.0,Bloco B,1,2
Sala E01,E01,50,0.0,Bloco E,1,2
Sala E03,E03,50,0.0,Bloco E,1,2
Sala E02,E02,50,0.0,Bloco E,1,2
Sala C01,C01,50,0.0,Bloco C,1,2
Sala C02,C02,50,0.0,Bloco C,1,2
Sala C03,C03,50,0.0,Bloco C,1,2
Sala C04,C04,50,0.0,Bloco C,1,2
Sala E01,E01,50,0.0,Bloco E,1,2
Sala E02,E02,50,0.0,Bloco E,1,2
Sala E03,E03,50,0.0,Bloco E,1,2
Sala F01,F01,50,0.0,Bloco F,1,2
Sala F02,F02,50,0.0,Bloco F,1,2
Sala F03,F03,50,0.0,Bloco F,1,2
Sala F04,F04,50,0.0,Bloco F,1,2
Sala F05,F05,50,0.0,Bloco F,1,2
Sala F06,F06,50,0.0,Bloco F,1,2
Auditório A,Auditório A,50,0.0,Bloco A,1,2
Anfiteatro Currais Novos,Anfiteatro Currais Novos,100,0.0,Bloco F,1,2
Anfiteatro Caicó,Anfiteatro Caicó,100,0.0,CERES,1,2
